Original first level,Original second level,Original third level,NLP Type,NLP first level,NLP second level,NLP third level,NLP fourth level,mapped_nlp
displacement,type/numbers/movements,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
displacement patterns,population movement,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
displacement profile,movement,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
displacement profile,type/numbers,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
durable solutions,internal relocation (interiorização),,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
durable solutions,resettlement,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
durable solutions,voluntary repatriation,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
effects on population,post-shock displacement,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
factors,movement and migration pattern,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
factors (societal level),movement and migration pattern,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
factors (society level),movement and migration pattern,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
freedom of movement,displacement due to natural disasters,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
humanitarian access,desplazamientos,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
humanitarian pillars,cross-border influx,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
humanitarian profile,affected groups,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
humanitarian profile,population movement,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
humanitarian situation,humanitarian profile,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
impact,displacements(internal),,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
informal settlement,,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
informal settlement (slum),,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
la soufriere,displacement,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
non-camp,,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
people of concern,idps - in camps,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
people of concern,idps - out of camps,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
perfil humanitario,grupos afectados,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
perfil humanitario,población en movimiento,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
personas en movilidad,personas migrantes,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
personas en movilidad,retornos,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
protección legal,viaje y desplazamiento,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
"restriction of freedom of assembly, movement and association",displacement by natural disasters,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
setting,camp,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
setting,mixed,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
setting,non-camp,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
type of crisis,displacement,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
reasentamiento,,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
relocation,,,1D,Displacement,Type/numbers/movements,,,"['subpillars_1d->Displacement->Type/numbers/movements', 'first_level_tags->pillars_1d->Displacement']"
displacement,push/pull factors,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
displacement,repatriation/return,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
displacement,resettlement/relocation,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
displacement patterns,push/pull factors,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
humanitarian profile,push/pull factors,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
resettlement/relocation,livelihood,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
resettlement/relocation,assistance (for moving),,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
resettlement/relocation,expectations,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
resettlement/relocation,services needed,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
resettlement/relocation,temporality,,1D,Displacement,,,,['first_level_tags->pillars_1d->Displacement']
acceso humanitario,brechas en el acceso humanitario,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,humanitarian access gaps,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,numb of people facing access constraints,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,operaciones militares y hostilidades continuas impidiendo a las operaciones humanitarias,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,people facing hum access constraints,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,people with access constraints,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian operations,physical access and operational risks,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
response,access constraints,,1D,Humanitarian access,People facing humanitarian access constraints/humanitarian access gaps,,,"['subpillars_1d->Humanitarian access->People facing humanitarian access constraints/humanitarian access gaps', 'first_level_tags->pillars_1d->Humanitarian access']"
acceso humanitario,restricciones físicas,,1D,Humanitarian access,Physical constraints,,,"['subpillars_1d->Humanitarian access->Physical constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,physical constraints,,1D,Humanitarian access,Physical constraints,,,"['subpillars_1d->Humanitarian access->Physical constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,physical environment,,1D,Humanitarian access,Physical constraints,,,"['subpillars_1d->Humanitarian access->Physical constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian operations,"physical constraints (on international and national staff, transport, and distribution of aid)",,1D,Humanitarian access,Physical constraints,,,"['subpillars_1d->Humanitarian access->Physical constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
acceso humanitario,beneficiarios a la ayuda,,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
acceso humanitario,limitaciones de acceso a las personas afectadas,,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,amenazas (individuales/colectivas),,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,beneficiaries to relief,,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,confinamiento/bloqueo de comunidades,,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,denial of needs,,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,pin to relief,,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,restriction of access to services/assistance,,1D,Humanitarian access,Population to relief,,,"['subpillars_1d->Humanitarian access->Population to relief', 'first_level_tags->pillars_1d->Humanitarian access']"
acceso humanitario,ayuda a los beneficiarios,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
attacks,humanitarian assets or staff,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,"restricciones o interferencia con el paso de agencias, personal o bienes en el país",,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,amenazas y violaciones encontra el personal humanitario y sus instalaciones,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,ataque a misión humanitaria,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,ataque a misión médica,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,ataques a bienes indispensables para la superviviencia de la población civil,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,impediments to entry,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,interference with hum. activities,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,interferencia en la implementación de actividades/acción humanitaria,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,"obstáculos e impedimentos a la entrada de agencias, personal y bienes al país",,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,relief to beneficiaries,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,relief to pin,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,restriction of movement,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,"violence against personnel, facilities and assets",,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access & space,interference,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access & space,movement & access to pocs,,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian operations,"administrative restrictions (on international and national staff, transport, and distribution of aid)",,1D,Humanitarian access,Relief to population,,,"['subpillars_1d->Humanitarian access->Relief to population', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access,insecurity/hostilities,,1D,Humanitarian access,Security constraints,,,"['subpillars_1d->Humanitarian access->Security constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian access & space,safety,,1D,Humanitarian access,Security constraints,,,"['subpillars_1d->Humanitarian access->Security constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
humanitarian operations,"security constraints (on international and national staff, transport, and distribution of aid)",,1D,Humanitarian access,Security constraints,,,"['subpillars_1d->Humanitarian access->Security constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
acceso humanitario,limitaciones de acceso por seguridad,,1D,Humanitarian access,Security constraints,,,"['subpillars_1d->Humanitarian access->Security constraints', 'first_level_tags->pillars_1d->Humanitarian access']"
2017 hurricane season,access & logistics challenges,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
acceso humanitario,barreras institucionales,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
context,humanitarian access,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
contexto,acceso humanitario,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
humanitarian access,physical  & security constraints,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
humanitarian situation,humanitarian access,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
internal security,lack of humanitarian or other access,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
la soufriere,access & logistics challenges,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
operational environment,humanitarian access,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
operational landscape,humanitarian access,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
response capacity,humanitarian access,,1D,Humanitarian access,,,,['first_level_tags->pillars_1d->Humanitarian access']
communication,communication means,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
communication & information,communication channels & means,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
covid-19 communication & information,channels & means,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
factors,relevant languages and communication preferences,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
information,communication means,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
information,communication means & channels,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
information & communication,communication means,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,communication means and preferences,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,info and comm means,,1D,Information and communication,Communication means and preferences,,,"['subpillars_1d->Information and communication->Communication means and preferences', 'first_level_tags->pillars_1d->Information and communication']"
analytical writing,uncertainty communication,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
communication,information challenges,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
communication & information,challenges & barriers,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
comunicación,desafíos de información,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
covid-19 communication & information,challenges & barriers,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
information,information challenges,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
information & communication,information challenges,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
information & communication,information challenges & barriers,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,communication barriers and challenges,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,communication challenges and barriers,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,info barriers and challenges,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
infrastructure & access to social services,absence of / disruption to key communications/ it,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
integración local,acceso a información,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
integración local,conectividad,,1D,Information and communication,Information challenges and barriers,,,"['subpillars_1d->Information and communication->Information challenges and barriers', 'first_level_tags->pillars_1d->Information and communication']"
communication,information gaps,,1D,Information and communication,Knowledge and info gaps (hum),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (hum)', 'first_level_tags->pillars_1d->Information and communication']"
flag,information gaps,,1D,Information and communication,Knowledge and info gaps (hum),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (hum)', 'first_level_tags->pillars_1d->Information and communication']"
general,information gap,,1D,Information and communication,Knowledge and info gaps (hum),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (hum)', 'first_level_tags->pillars_1d->Information and communication']"
high-level tags,information gap,,1D,Information and communication,Knowledge and info gaps (hum),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (hum)', 'first_level_tags->pillars_1d->Information and communication']"
information,information gaps,,1D,Information and communication,Knowledge and info gaps (hum),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (hum)', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,knwoledge and info gaps ( hum),,1D,Information and communication,Knowledge and info gaps (hum),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (hum)', 'first_level_tags->pillars_1d->Information and communication']"
communication,information needs,,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
communication & information,"knowledge, gaps & misinformation",,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
comunicación,necesidades/brechas en la información,,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
covid-19 communication & information,knowledge & misinformation,,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
information,information needs,,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
information,information needs & gaps,,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
information & communication,information needs,,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,knoweldge and info needs,,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,knowledge and gaps ( pop),,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
information and communication,knwoledge and info gaps (pop),,1D,Information and communication,Knowledge and info gaps (pop),,,"['subpillars_1d->Information and communication->Knowledge and info gaps (pop)', 'first_level_tags->pillars_1d->Information and communication']"
comunicación,información no oficial,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
comunicación,información oficial,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
context,data/information gaps/challenges,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
context,information and communication,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
contexto,brechas de información,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
covid-19,information and communication,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
covid-19 overview,communication & information,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
flag,rumors,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
impact,infromation and communications,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
information & communication,communication means & challenges,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
information & communication,information gaps,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
information & communication,information needs & gaps,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
information gap,information gaps,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
information gap,information need,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
intersectoral linkage,communication,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
temática,brecha de información,,1D,Information and communication,,,,['first_level_tags->pillars_1d->Information and communication']
context,hazard and risk,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
context,hazards & risks,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
context,risk,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
environment & climate,natural hazards or extreme weather events,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
environmental health,environmental degradation/risks,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
event,risk,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
event/shock,hazard and threats,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
flag,hazard & threats,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
flag,hazard/threats/risk,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
general,risk,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
high-level tags,risks,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
other shocks /events/ongoing conditions,"hazards, risks or threats",,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
riesgos y amenazas,alerta,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
riesgos y amenazas,amenaza,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
riesgos y amenazas,riesgo,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
riesgos y amenazas,vulnerabilidad,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
risk,exposure,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
risk,hazard,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
shock,hazard and threats,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
shock /event/ongoing conditions,hazard and threats,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
temática,peligros y amenazas,,1D,Shock/event,Hazard & threats,,,"['subpillars_1d->Shock/event->Hazard & threats', 'first_level_tags->pillars_1d->Shock/event']"
